CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster,Cluster_Name,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2,Anomaly,Anomaly_Score,Is_Anomaly
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,1,Low Engagement,-1.6836487915335951,-1.0722414849702824,-41.727627,-19.58678,6.087473,2.035949,1,-0.3742134567441209,False
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,2,Cash Advance Users,-1.1340849338928858,2.5091498069079217,-14.419512,55.27056,2.9712217,7.796784,1,-0.4401352224266571,False
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,1,Low Engagement,0.9693949881955947,-0.383576902590207,29.896103,15.593158,7.695206,8.5895195,1,-0.43069901376007075,False
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,1,Low Engagement,-0.888220393358461,0.004648422505495557,-37.78312,-29.175232,6.0079746,1.0438514,1,-0.41565561557967023,False
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,1,Low Engagement,-1.6000209527055869,-0.6837952385254014,-20.759998,-6.386052,4.6743665,2.874629,1,-0.3619427417658616,False
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1,Low Engagement,0.25296133640781265,-0.7763781138146532,8.257246,-20.752386,7.80569,4.580885,1,-0.4119759369290165,False
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,0,Premium Shoppers,6.3501686985299015,-0.7045601665736708,74.51454,2.3043933,9.614592,10.695125,-1,-0.5573594591140117,True
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,1,Low Engagement,0.27608023289727646,-1.2881453645406156,24.632263,-26.540165,9.215845,5.0876184,1,-0.3777437345987879,False
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,1,Low Engagement,-0.44216972843857544,-0.4594962408531663,-16.77429,9.705431,4.6371207,4.3217106,1,-0.37870507770779255,False
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,1,Low Engagement,-0.5638290416090365,-0.3667209479304946,-36.11619,-32.71174,5.7951136,0.6306629,1,-0.4183697155161615,False
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,1,Low Engagement,0.5412243386462342,-1.3094738444543967,29.907373,-25.828295,9.767917,5.374429,1,-0.39069855678784166,False
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,1,Low Engagement,-0.6860707804980931,-0.7836631362346003,-37.92,-23.447628,6.1326513,1.502876,1,-0.3889691983885881,False
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,0,Premium Shoppers,1.9785453477493293,-1.3236240584287353,40.439316,-7.6461687,9.0249605,6.947959,1,-0.4258227679735857,False
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,1,Low Engagement,1.5592611874235194,-0.880617460310964,47.45406,-19.849375,10.011207,6.5060163,1,-0.41367340411152176,False
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,1,Low Engagement,-1.5865046128853868,0.2382347957469994,-44.414864,27.422623,2.4074888,4.1007614,1,-0.36141322195975534,False
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,2,Cash Advance Users,0.7952326246689903,1.8483049587987905,13.839203,46.244045,5.3151336,7.609327,1,-0.4649362770742637,False
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,1,Low Engagement,-2.095808186439576,0.9594123107442486,-55.5967,2.6734583,1.8284225,-0.579419,1,-0.41778852069161,False
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,1,Low Engagement,-0.9590851980608406,-1.575774396718541,-21.872032,-46.612873,8.024683,0.92311406,1,-0.4081154562205468,False
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,1,Low Engagement,0.5009050066538842,-0.09518659540234072,3.93523,-4.2120295,6.693203,4.697856,1,-0.3981366472900738,False
C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,1,Low Engagement,0.7978026846707724,0.06168003620585273,55.65885,51.70736,11.670318,16.352215,1,-0.4335789445071807,False
C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,1,Low Engagement,-0.12716607339797287,-0.054053626374383115,55.32275,52.587753,11.65628,16.365736,1,-0.43533358746985584,False
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,0,Premium Shoppers,5.5280024799578955,1.7343578704202827,55.87093,18.19191,8.599913,10.061903,-1,-0.5671443839183153,True
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,1,Low Engagement,0.41506038605748674,-1.738876386730178,17.91778,-46.762035,8.481312,-0.3904232,1,-0.40980443418746143,False
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,2,Cash Advance Users,2.8075028959807407,3.694182760548334,21.904957,62.061104,5.261304,9.353721,-1,-0.5853316053551403,True
C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,2,Cash Advance Users,-1.420751214711547,1.9315859216501012,-11.896792,40.324963,3.2476413,6.6044164,1,-0.39391225207067354,False
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,1,Low Engagement,0.16263382463231307,-1.631002526221594,28.068287,-36.66386,9.932763,4.5195484,1,-0.37391435128295236,False
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,1,Low Engagement,-1.4420878020444916,0.43542777309663544,-52.323597,58.577995,0.586627,6.027026,1,-0.38787043321812364,False
C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12,1,Low Engagement,-0.050631486064471556,-1.7705273031474478,22.89273,-37.4168,9.737546,4.194041,1,-0.37960403710367646,False
C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,2,Cash Advance Users,-0.005996130748920863,4.131105025478622,-0.1805513,62.52979,4.4311996,8.629758,1,-0.4727525472629456,False
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,1,Low Engagement,-0.7716181604000278,-0.8628181368044049,0.023500785,-9.437129,7.018385,3.9751523,1,-0.37018010652255684,False
C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,2,Cash Advance Users,3.7644917021812097,4.2939890605459645,14.947382,54.645214,5.4417267,8.4371195,-1,-0.5737408706016408,True
C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,1,Low Engagement,1.4093253899377896,-0.6867292166929567,38.726814,-14.658694,9.519315,6.298258,1,-0.4142933810812612,False
C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,2,Cash Advance Users,-0.5644573526646934,2.1393114843229903,5.128721,49.78371,4.0974307,7.0667186,1,-0.4141609480656953,False
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,1,Low Engagement,0.3724880034661884,-1.4611912881391864,22.316042,10.18605,7.883276,8.052076,1,-0.4361379358625395,False
C10035,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,0,Premium Shoppers,2.032723142172885,1.4269677354335455,56.841423,52.89287,11.677911,16.386816,1,-0.5196747642488199,False
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,1,Low Engagement,-1.7597171841358115,-0.17472485614038077,-52.096066,23.77251,1.634426,3.405574,1,-0.3616169662977939,False
C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,2,Cash Advance Users,-1.4149648379145519,5.479818456347437,6.9876432,64.96022,4.0641294,8.82989,1,-0.4890010090681878,False
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,0,Premium Shoppers,1.8466985644507383,1.253550098138483,36.216213,28.410448,6.777492,7.974782,1,-0.4661000595792752,False
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,2,Cash Advance Users,-0.9517340961140804,3.14780659101067,0.14441113,54.65649,3.8386052,7.7454853,1,-0.4079492240468202,False
C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,2,Cash Advance Users,0.6684435451586602,3.5123007507811534,-33.233665,17.422808,4.5187283,1.5004615,-1,-0.547254289525582,True
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,1,Low Engagement,-1.7522811093257247,0.708170872365102,-35.58352,29.168385,1.7478771,5.540209,1,-0.40339871181556153,False
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,1,Low Engagement,0.4474175938281591,0.6536245138816812,12.549291,25.521484,6.5899215,6.115942,1,-0.4506910462867094,False
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,1,Low Engagement,-1.1120842562344073,0.309985746170166,-12.103045,34.336906,3.5494413,5.6431985,1,-0.38037945953279845,False
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,1,Low Engagement,-1.8127035666410534,0.01736823616895463,-56.584255,28.499996,1.2385182,3.6949756,1,-0.3591940289300675,False
C10046,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,0,Premium Shoppers,1.8916858128709781,-0.08378939644854157,46.22679,21.996225,8.245509,8.864323,1,-0.4374363649353064,False
C10047,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,312.343947,0.0,12,1,Low Engagement,-0.8932037348736015,-0.1295837374661999,-6.7790246,27.874653,6.7464647,4.5591583,1,-0.38272093328314416,False
C10048,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,1,Low Engagement,-1.7957884352907176,-0.7379576069610692,-64.75199,-10.628449,3.0031807,-1.3977112,1,-0.42526614043690253,False
C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,312.343947,0.0,12,2,Cash Advance Users,-1.7981020400860164,2.031817554378626,-22.289387,60.90358,2.3586094,7.1061597,1,-0.3913408159061034,False
C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,0,Premium Shoppers,3.542874684288409,-2.0131517171139635,68.31854,-3.579693,10.213657,9.18182,1,-0.47354193078512863,False
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,1,Low Engagement,-1.0852504706414168,-0.120493992536752,-25.486757,7.337797,4.5374246,4.2278786,1,-0.37222327774452274,False
C10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,2,Cash Advance Users,0.3688081247947944,7.147456036312231,6.7844844,74.48027,4.1605463,9.726148,-1,-0.5818478661154222,True
C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,1,Low Engagement,1.5428992982206582,-0.8323339876582609,18.585949,1.1152217,8.040076,6.6715417,1,-0.4309469457270376,False
C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,1,Low Engagement,-1.7255477366096472,0.47628217001157325,-43.23182,49.231236,1.0602609,5.9026985,1,-0.36301626906715845,False
C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,1,Low Engagement,0.4701426204485806,-0.10395588073005893,-51.26072,-14.230671,2.674141,-0.7124769,1,-0.47759027819728506,False
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,312.343947,0.0,12,1,Low Engagement,-0.7346705448951641,-1.6541532986554734,-18.142809,-38.037292,7.710488,1.4558274,1,-0.3840588937095167,False
C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,312.343947,0.0,12,1,Low Engagement,-0.47160410677488357,-0.35189220344516037,-10.775109,9.079454,4.8090277,4.8648863,1,-0.38112516920378275,False
